Date,Close,High,Low,Open,Volume,day_of_week,month,year,is_month_start,is_month_end,SMA_5,SMA_20,SMA_50,EMA_12,EMA_26,MACD,MACD_signal,RSI_14,BB_middle,BB_std,BB_upper,BB_lower,daily_return,volatility_5d,volatility_20d,momentum_5d,momentum_20d,future_price_10d,future_return_10d,price_up_10d
2020-03-24,6734.8037109375,6789.02294921875,6411.06640625,6436.642578125,48221910672,1,3,2020,0,0,,,,6734.8037109375,6734.8037109375,0.0,0.0,,,,,,,,,,,6733.38720703125,-0.000210325937777478,0
2020-03-25,6681.06298828125,6892.51123046875,6536.92626953125,6738.716796875,44590107888,2,3,2020,0,0,,,,6726.535907451923,6730.822916666667,-4.287009214744103,-0.8574018429488206,,,,,,-0.007979552925792555,,,,,6867.52734375,0.027909384449123387,1
2020-03-26,6716.4404296875,6735.4638671875,6590.962890625,6675.1708984375,35319797642,3,3,2020,0,0,,,,6724.982757026627,6729.757547260803,-4.77479023417618,-1.6408795211942926,,,,,,0.005295181540467819,,,,,6791.12939453125,0.011120319702921044,1
2020-03-27,6469.79833984375,6793.83642578125,6466.70166015625,6719.38916015625,34585598367,4,3,2020,0,0,,,,6685.723615921569,6710.501309674355,-24.777693752786035,-6.2682423675126415,,,,,,-0.03672214358569481,,,,,7271.78125,0.12395794552317052,1
2020-03-28,6242.19384765625,6467.5009765625,6117.837890625,6467.25390625,34885225901,5,3,2020,0,0,6568.85986328125,,,6617.488266957674,6675.8118680433845,-58.323601085710834,-16.67931411115228,,,,,,-0.035179534234601295,,,,,7176.41455078125,0.14966223829716063,1
2020-03-29,5922.04296875,6250.46728515625,5920.0859375,6245.62451171875,28373690931,6,3,2020,0,0,6406.30771484375,,,6510.496682618032,6619.977134762393,-109.48045214436115,-35.239541717794054,,,,,,-0.051288198783903005,0.02312704987695916,,-0.1206806875258376,,7334.0986328125,0.23844063130135495,1
2020-03-30,6429.841796875,6517.19580078125,5903.234375,5925.53857421875,37101651525,0,3,2020,0,0,6356.0634765625,,,6498.088238657565,6605.893035659623,-107.80479700205797,-49.75259277464684,,,,,,0.08574723804008189,0.05565638052690033,,-0.03760197918308783,,7302.08935546875,0.1356561461617416,1
2020-03-31,6438.64453125,6504.51513671875,6374.162109375,6430.6064453125,32786468812,1,3,2020,0,1,6300.504296875,,,6488.943052902555,6593.504257555206,-104.56120465265121,-60.71431515024772,,,,,,0.0013690436954885143,0.05547701563661849,,-0.04136058397981279,,6865.4931640625,0.06629479710221431,1
2020-04-01,6606.7763671875,6612.57373046875,6202.37353515625,6437.3193359375,40346426266,2,4,2020,1,0,6327.89990234375,,,6507.071255100239,6594.487376787228,-87.41612168698884,-66.05467645759595,,,,,,0.026112924097839496,0.0542245138177794,,0.021171916054969042,,6859.0830078125,0.038189069313451895,1
2020-04-02,6793.62451171875,7088.24755859375,6595.91845703125,6606.7763671875,47660646124,3,4,2020,0,0,6438.18603515625,,,6551.156371503087,6609.238275671044,-58.081904167956964,-64.46012199966815,,,,,,0.028281287899985408,0.049594974532886194,,0.08833924058118536,,6971.091796875,0.02612262200392812,1
2020-04-03,6733.38720703125,7003.220703125,6673.3359375,6797.396484375,38976504903,4,4,2020,0,0,6600.4548828125,,,6579.191884661266,6618.434492808837,-39.242608147570536,-59.416619229248624,,,,,,-0.008866740365705117,0.03672848072539589,,0.1370041120205694,,6845.03759765625,0.016581608511747392,1
2020-04-04,6867.52734375,6878.95361328125,6696.48486328125,6738.3828125,33185988584,5,4,2020,0,0,6687.9919921875,,,6623.5511860595325,6636.885815100774,-13.334629041241897,-50.20022119164728,,,,,,0.01992164308903499,0.016325961075101637,,0.06807096670523394,,6842.427734375,-0.003654824818111968,0
2020-04-05,6791.12939453125,6883.4140625,6715.92919921875,6862.53759765625,29510409856,6,4,2020,0,0,6758.48896484375,,,6649.332448901335,6648.311265428958,1.0211834723768334,-39.95594025884246,,,,,,-0.011124520572645125,0.01930498413876746,,0.05474519700077596,,6642.10986328125,-0.0219432619513924,0
2020-04-06,7271.78125,7271.78125,6782.8896484375,6788.0498046875,46896904615,0,4,2020,0,0,6891.48994140625,,,6745.093802916514,6694.494227249035,50.59957566747835,-21.8448370735783,60.711596026152066,,,,,0.0707764242948763,0.033349103521941106,,0.1006549708743345,,7116.80419921875,-0.021312116722604912,0
2020-04-07,7176.41455078125,7427.939453125,7136.71435546875,7273.64404296875,44243482668,1,4,2020,0,0,6968.04794921875,,,6811.45084104955,6730.192028992162,81.25881205738824,-1.224107247384992,58.486343598115326,,,,,-0.013114627068677276,0.03576719782179592,,0.056345480737447495,,7096.1845703125,-0.011179674738831191,0
2020-04-08,7334.0986328125,7356.2236328125,7153.3056640625,7179.283203125,37563249549,2,4,2020,0,0,7088.190234375,,,6891.858193628465,6774.925851497372,116.93234213109372,22.40718262831075,62.06717652410906,,,,,0.02197254365887824,0.0339878302905365,,0.08921385438133789,,7257.6650390625,-0.01042167518828263,0
2020-04-09,7302.08935546875,7341.4482421875,7179.09423828125,7337.96630859375,34815139178,3,4,2020,0,0,7175.10263671875,,,6954.970680065432,6813.974999939696,140.99568012573582,46.124882127795765,60.83545285872587,,,,,-0.004364445986660415,0.0352986044030892,,0.06327779853898008,,7189.4248046875,-0.01542908410137056,0
